name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price
Spacious Double Room in E14,Tower Hamlets,51.51102,-0.04129,Private room,1,20,2022-03-26,0.19,1,362,0,4000.0
"Room in a cosy flat. Central, clean",Camden,51.55419,-0.1438,Private room,2,8,2016-09-10,0.08,1,365,0,8000.0
Beautifully designed duplex close to Oxford Street,Westminster,51.51383,-0.1493,Entire home/apt,14,14,2024-05-31,0.14,45,141,2,450.0
3 Bed Flat in South Hampstead with Large Garden!,Camden,51.54335,-0.18388,Entire home/apt,4,8,2019-08-02,0.08,1,363,0,25000.0
Quiet 5 bedroom house + parking,Kensington and Chelsea,51.50285,-0.20824,Entire home/apt,3,35,2024-09-02,0.34,1,46,10,495.0
Mayfair double en-suite bedroom,Westminster,51.51336,-0.15567,Private room,30,41,2020-02-04,0.42,3,180,0,1000.0
3 Bed 4 Bath flat Bayswater London,Westminster,51.51734,-0.1813,Entire home/apt,5,80,2023-07-20,0.76,1,281,0,550.0
City Cottage,Hammersmith and Fulham,51.49362,-0.21936,Entire home/apt,1,21,2022-12-30,0.22,404,63,0,913.0
Richmond Riverside Villa,Richmond upon Thames,51.45872,-0.30524,Entire home/apt,2,41,2023-09-17,0.43,2,238,1,600.0
Luxury 2B 2BA flat near Oxford St.,Westminster,51.51546,-0.15474,Entire home/apt,4,2,2018-06-15,0.02,1,364,0,1258.0
Spacious Private Ground Floor Room,Brent,51.57222,-0.26976,Private room,1,0,,,1,365,0,7693.0
Exquisite townhouse w/ a Patio,Westminster,51.52526,-0.16343,Entire home/apt,4,63,2024-08-05,0.61,49,4,5,492.0
Notting Hill House with Private Patio,Kensington and Chelsea,51.51860312317305,-0.2234903370474993,Entire home/apt,3,61,2024-08-20,0.58,1,178,4,425.0
Stunning South Kensington Home across from the V&A,Kensington and Chelsea,51.49641,-0.16976,Entire home/apt,2,99,2024-08-12,0.96,1,47,10,600.0
Beautiful large Victorian townhouse,Haringey,51.5692175,-0.1076221,Entire home/apt,3,4,2024-08-05,0.27,1,44,2,420.0
Belsize Park Garden,Camden,51.55106,-0.16833,Entire home/apt,1,0,,,404,63,0,846.0
